Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2014,2014,5,NA,NA,NA,-1.746237228,1,-0.92,-0.335571429,17,10.1,13.5,2.4,4.3,15.5,1993.8,82,1014.2,15.3,14.7,13.8,13.2,12.3,11.7,0,5.2,2.555,2.555,3.552,2.236014479,0.273699424,0.098058905,13.52857143,8.828571429,11.17142857,4.228571429,11.25714286,25.77142857,1436.628571,85.75714286,1008.414286,13.1,12.85714286,12.74285714,12.57142857,12.32857143,11.77142857,0,2.857142857,1.801345656,1.801345656,1.210555643,5.123081399,0.561041211,0.343911472
02/06/2014,2014,6,144,136,115,-1.929446975,1,-0.97,0.078571429,13.7,9.7,11.7,1.4,8,21.4,989.9,85.3,1013.1,14.8,14.8,15.1,14.8,14.4,12.8,9.3,0,1.118,1.118,14.829,0.958098542,0.562552064,0.078893878,17.17142857,9.385714286,13.28571429,0.685714286,6.414285714,18.08571429,1645.742857,80.97142857,1017.057143,4.385714286,16.25714286,15.77142857,15.08571429,14.1,12.28571429,1.55,4.157142857,2.296763263,2.296763263,13.35552372,1.107765952,0.203600879,0.073371131
09/06/2014,2014,6,156.33,168,109.6,-1.929446975,1,-0.97,-0.322142857,18.6,11,14.8,7,8.6,23.2,1481.5,86.4,1008.1,0,15.7,15.4,15,14.2,13,0,1,1.499,1.499,4.509,1.072865521,0.449051117,0.086430595,16.85714286,8.728571429,12.78571429,3.628571429,8.371428571,24.21428571,1658.128571,81.45714286,1006.142857,1.9,15.08571429,14.88571429,14.5,14.01428571,12.92857143,0,3.8,2.154242846,2.154242846,14.63041287,0.83975933,0.21960094,0.075565952
16/06/2014,2014,6,107,130,117.6,-1.929446975,1,-0.97,-0.589714286,20.3,10.9,15.6,0,9.6,21.2,3000.7,76.7,1029,0,20,18.5,17.4,16.1,13.9,0,13.3,5.025,5.025,10.376,0.824950208,0.108699117,0.068834248,19.25714286,11.32857143,15.27142857,2.028571429,6.842857143,17.87142857,1993.457143,84.24285714,1022.971429,0,17.72857143,17.02857143,16.27142857,15.21428571,13.44285714,1.857142857,4.985714286,2.648867863,2.648867863,4.106054411,1.308537842,0.301668054,0.09810373
23/06/2014,2014,6,31,48,41,-1.929446975,1,-0.97,-0.791285714,12.8,12.3,12.6,NA,6.7,17.2,NA,NA,NA,0,0,0,0,0,0,0,8.8,3.585,3.585,30.171,0.4157175,0.066685519,0.059790335,18.75714286,12.37142857,15.57142857,0,6.957142857,19.1,2037.68,79.68333333,1024.833333,2.328571429,10.72857143,16.54285714,13.25714286,14.8,12.54285714,0,5.3,2.827929698,2.827929698,23.37319335,0.541370923,0.077708189,0.06194101
30/06/2014,2014,6,64,72,137,-1.929446975,1,-0.97,-0.323714286,21.1,12.2,16.7,0,7.4,20.2,2263.9,67.5,1013.7,0,19.4,18.1,17.4,16.6,15.3,0,7.1,3.409,3.409,16.898,0.801791354,0.074907951,0.076266948,18.27142857,12.02857143,15.17142857,5.166666667,7.142857143,18.11428571,1786.333333,78.83333333,1011.25,2.442857143,15.54285714,15.34285714,15,14.44285714,13.08571429,0,4.442857143,2.532295734,2.532295734,15.40593587,0.945700908,0.11320334,0.206967788
07/07/2014,2014,7,108,142,122,-1.922143701,1,0.18,0.176142857,18.2,10.4,14.3,1.6,6.5,19.2,1883.5,79,1010,0,0,16.7,0,16.1,15.4,0,3.7,2.248,2.248,5.704,1.237566667,0.292963425,0.08097184,17.22857143,10.25714286,13.75714286,4,7.742857143,22.84285714,1771.757143,82.05,1006.971429,0,11.43333333,17.47142857,11.51666667,16.67142857,15.44285714,0,4.228571429,2.400927217,2.400927217,13.47535498,1.201337262,0.485887941,0.104995527
14/07/2014,2014,7,147,139,222,-1.922143701,1,0.18,0.084571429,17.1,13,15.1,19.1,11.1,26.2,1038.3,88.4,1005.5,16.9,16.9,17,16.8,16.3,15.3,0,2,1.768,1.768,0,3.886008229,2.786827087,0.718282383,16.91428571,12.67142857,14.8,4.142857143,7.557142857,18.71428571,1188.657143,90.03333333,1014.1,7.357142857,12.15714286,16.9,16.64285714,16.18571429,15.28571429,0,2.328571429,1.862619594,1.862619594,5.840288944,1.430307069,0.695366965,0.175439723
21/07/2014,2014,7,115,119,153,-1.922143701,1,0.18,-0.068857143,22,15.2,18.6,0,6.9,18.2,1116.7,89.2,1015.2,0,19.6,19.2,18.5,17.7,15.8,0,2.6,2.041,2.041,8.58,1.41397125,0.128132905,0.076980259,20.71428571,13.64285714,17.17142857,2.5,6.942857143,20.22857143,1491.085714,85.98571429,1011.114286,2.542857143,18.75714286,18.28571429,17.65714286,16.81428571,15.5,0,3.514285714,2.272564803,2.272564803,2.968369718,3.828806786,0.700635942,0.244481602
28/07/2014,2014,7,71,106,90,-1.922143701,1,0.18,-0.274428571,19.2,14.7,17,0.4,8.6,20.9,1210.5,82,1018.4,0,18.9,18.7,18.5,18.2,16.7,0,1.4,1.572,1.572,14.465,0.555961146,0.089735886,0.069396451,22.22857143,15.34285714,18.8,1.6,7.257142857,18.07142857,1461.757143,86.01428571,1017.457143,2.9,11.58571429,20.08571429,19.41428571,18.4,16.31428571,2.4,4.028571429,2.440767056,2.440767056,8.401616702,0.851422113,0.140511882,0.078053529
04/08/2014,2014,8,98,132,122,-1.795572972,1,-1.68,-0.094857143,21.4,8.8,15.1,0.6,3.8,14.7,1963.2,80.5,1009.4,0,0,16.7,0,16.3,16.3,0,9.3,3.572,3.572,11.388,0.625068542,0.168709528,0.088607719,18.74285714,11.67142857,15.18571429,2.357142857,7.957142857,21.65714286,1275.342857,83.58571429,1007.585714,2.616666667,14.97142857,17.47142857,14.95714286,17.17142857,16.52857143,0,3.014285714,1.917590883,1.917590883,14.43298153,0.515318973,0.141797682,0.076768137
11/08/2014,2014,8,156,204,120,-1.795572972,1,-1.68,-0.527142857,17.6,11.6,14.6,9.1,11.2,27,1678.3,85.6,999.5,0,16.2,16.3,16.2,16.4,16.2,0,5.3,2.387,2.387,0,1.45706,0.312936512,0.089309004,18.87142857,11.45714286,15.15714286,4.785714286,7.442857143,23.57142857,1750.542857,84.24285714,1003.5,0,7.3,17.6,17.24285714,16.9,16.17142857,0,7.128571429,2.929405444,2.929405444,9.554287958,0.734353542,0.23483624,0.079517415
18/08/2014,2014,8,200,185,332,-1.795572972,1,-1.68,-1.136,15.8,10.4,13.1,0.9,11,28.3,1640.1,75.4,1014.1,0,15,15,15.1,15.4,15.7,0,6.4,2.484,2.484,4.654,0.820205625,0.167671346,0.073282727,17.18571429,11.7,14.45714286,2.428571429,9.928571429,24.87142857,1385.042857,80.08571429,1010.842857,2.185714286,16.08571429,16.02857143,15.94285714,16,15.88571429,0,5.385714286,2.342244911,2.342244911,1.658050033,1.17560939,0.350509034,0.091878898
25/08/2014,2014,8,175,147,337,-1.795572972,1,-1.68,-1.459857143,16.4,13.7,15,11.4,11.5,25.7,524.9,95.1,996.4,15.3,15.2,15,14.9,14.7,15.1,0,0.3,0.983,0.983,1.566,1.734771458,0.732491187,0.415283413,16.15714286,9.442857143,12.8,2.285714286,7.7,22.47142857,1206.814286,81.85714286,1010.971429,2.185714286,14.88571429,14.91428571,14.81428571,15,15.32857143,0,4.028571429,1.844553728,1.844553728,7.831562303,0.773907619,0.226822338,0.116206192
01/09/2014,2014,9,173,169,334,-1.978765814,1,1.62,-0.564714286,17.4,12.8,15.1,0,5.5,14.7,855.4,78,1019,15.3,15.4,15.2,15.1,14.9,14.8,NA,0.8,1.04,1.04,1.04,5.541277813,0.484160584,0.186705728,16.85714286,11.95714286,14.4,5.328571429,10.31428571,29.61428571,679.6285714,87.31428571,1006.928571,6.342857143,14.94285714,14.95714286,14.9,14.82857143,14.9,1.983333333,0.985714286,1.096098978,1.096098978,0.866582936,6.000625462,1.331202297,0.621885367
08/09/2014,2014,9,62,69,76,-1.978765814,1,1.62,0.081714286,18.1,7,12.6,0,4,11.3,1042.7,83,1019.9,0,13.8,13.9,13.9,14.3,14.8,0,2.6,1.303,1.303,8.451,0.729018229,0.089199846,0.057207274,17.17142857,10.41428571,13.8,0,5.314285714,14.77142857,837.3714286,84.3,1017.771429,6.771428571,15.01428571,15.08571429,14.97142857,14.98571429,14.85714286,0,1.214285714,1.058739578,1.058739578,5.060976501,1.696974539,0.12501524,0.070238995
15/09/2014,2014,9,33,29,47,-1.978765814,1,1.62,1.079428571,18.8,11.3,15,0,5,14.4,833.3,83.4,1016.5,0,15.9,16,15.9,15.6,14.9,0,1.1,0.963,0.963,21.405,0.391414271,0.076316563,0.052538313,19.78571429,10.78571429,15.28571429,0,5.771428571,15.44285714,1291.957143,80.54285714,1019.2,0,13.88571429,15.84285714,6.885714286,15.11428571,14.72857143,0,4.885714286,1.850610395,1.850610395,16.65748471,0.502329003,0.080430528,0.053495456
22/09/2014,2014,9,34,50,50,-1.978765814,1,1.62,0.353857143,19.6,9,14.3,2,5.8,19.1,1289.8,88.3,1021.8,0,0,15.3,0,15.1,15,0,5.6,1.793,1.793,28.177,0.312093958,0.071203124,0.05579815,18.47142857,11.22857143,14.85714286,0.3,6.642857143,17.8,1007.771429,85.25714286,1015.4,2.214285714,13.54285714,15.65714286,11.25714286,15.35714286,15,0,2.842857143,1.267391821,1.267391821,25.3567709,0.328361741,0.07338042,0.05479258
29/09/2014,2014,9,29,63,37,-1.978765814,1,1.62,1.334857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.736,0.736,23.322,0.388734792,0.09163157,0.058759451,17.38333333,11,14.18333333,2.083333333,7.333333333,23.76666667,787.1333333,88.5,1016.15,9.9,14.86666667,14.95,14.93333333,14.83333333,14.81666667,0,2.4,1.092177595,1.092177595,22.58532684,0.379420506,0.109947117,0.06008311
06/10/2014,2014,10,149,116,221,-2.189330386,1,-1.27,-0.096428571,10.4,10.4,10.4,2.7,7.4,30.1,725.6,82.8,989.1,0,10.7,11.4,12,12.8,14.2,0,3.6,1.072,1.072,2.881,3.243799479,0.7641027,0.249768616,14.31428571,9.671428571,12,3.842857143,10.28571429,35.74285714,629.2142857,82.98571429,1008.428571,8.733333333,12.77142857,13.25714286,13.57142857,14.02857143,14.54285714,0,2.733333333,0.922637165,0.922637165,14.57102605,1.264540878,0.437279793,0.099439131
13/10/2014,2014,10,95,89,126,-2.189330386,1,-1.27,-1.465428571,13.5,5.7,9.6,0,6,15.5,566.3,80.5,1009.6,0,10.5,11.1,11.4,12,13.1,0,0.1,0.432,0.432,8.725,0.826035,0.132478503,0.074333813,14.08333333,5.766666667,9.933333333,0.2,4.816666667,14.13333333,733.3166667,88,999.7166667,1.1,10.5,11,11.36666667,12.05,13.45,0,3.585714286,1.006419081,1.006419081,6.414387635,1.30999128,0.199084694,0.108505
20/10/2014,2014,10,170,116,285,-2.189330386,1,-1.27,-0.715428571,10.8,10.8,10.8,12.8,13.5,52,389.5,94.6,1002.3,12.3,12.3,12.4,12.5,12.5,12.8,9.6,0.8,0.494,0.494,0,8.181140208,3.475506854,0.810989682,11.01428571,10.9,10.92857143,5.914285714,12.9,35.64285714,401.5571429,89.02857143,995.6571429,11.67142857,11.68571429,11.72857143,11.85714286,11.97142857,12.81428571,2.728571429,1.628571429,0.643907511,0.643907511,1.740784179,2.828791652,1.026763594,0.295125614
27/10/2014,2014,10,134,88,192,-2.189330386,1,-1.27,0.174142857,15.1,13.4,14.2,8.7,13.5,29.6,88.6,94.6,1002.5,12.9,12.7,12.3,12.1,11.8,12.3,13.1,0,0.361,0.361,0,8.243870104,2.281584354,0.44481097,11.8,11.41428571,11.58571429,7.471428571,14.02857143,34.94285714,263.5714286,87.81428571,1007.685714,10.85714286,10.92857143,11.14285714,11.4,11.75714286,12.58571429,3.242857143,1.428571429,0.558627648,0.558627648,0,7.927501964,1.610238643,0.433477319
03/11/2014,2014,11,165,137,245,-2.154157803,1,0.68,-0.580142857,5.9,5.5,5.7,18.8,6.1,32.1,413.6,90.6,982.3,7.5,7.7,8.6,9.3,10.6,12.1,0,2.4,0.501,0.501,0,13.07354052,2.030060583,0.859413697,10.91428571,9.114285714,10.01428571,11.12857143,9.457142857,27.37142857,261.6,89.77142857,998.3571429,9.957142857,10.11428571,10.58571429,10.92857143,11.41428571,12.24285714,0,1.128571429,0.442040343,0.442040343,0.05666912,10.40763018,1.818393099,0.583892723
10/11/2014,2014,11,125,125,226,-2.154157803,1,0.68,0.386857143,5.7,5.6,5.6,1.9,9.7,24.5,90.8,95.7,987.7,7.3,7.4,7.9,8.4,9.2,11,0,0,0.218,0.218,0,5.783281458,0.814544612,0.171830852,7.685714286,7.5,7.585714286,7.771428571,8.214285714,26.44285714,267.7285714,90.25714286,991.8857143,7.928571429,8.071428571,8.442857143,8.914285714,9.671428571,11.37142857,0,1.685714286,0.420754708,0.420754708,0,13.40062326,1.680657537,1.18759713
17/11/2014,2014,11,115,118,175,-2.154157803,1,0.68,-0.213142857,11.1,5.9,8.5,0.5,6,23.2,366.3,92.1,1006.7,6.9,7,7.4,7.8,8.6,10.2,0,3.1,0.488,0.488,0.879,2.073370313,0.190392638,0.097460427,9.757142857,5.314285714,7.528571429,3.1,7.514285714,21.91428571,267.9285714,93.82857143,990.8,7.114285714,7.242857143,7.642857143,8.057142857,8.785714286,10.52857143,0,1.785714286,0.377913382,0.377913382,0.300269109,3.872072262,0.533744081,0.223995349
24/11/2014,2014,11,147,127,200,-2.154157803,1,0.68,0.266571429,9,2.1,5.6,2.5,5.1,16.6,95.7,94.2,1019.8,4.7,5,5.6,6.3,7.5,9.8,0,0,0.163,0.163,0,1.463639688,0.404378854,0.108012801,9.342857143,5.057142857,7.214285714,1.685714286,7.685714286,23.78571429,210.5428571,90.55714286,1011.714286,6.4,6.628571429,7.1,7.6,8.328571429,10,0,1.5,0.310069665,0.310069665,0.358573174,1.371686845,0.271311024,0.097186535
01/12/2014,2014,12,86,89,120,-1.253214767,0,1.86,0.751714286,9.3,9.2,9.2,2.8,10,28.5,70,88,1013.7,7.6,7.7,8,8.1,8.1,9.1,NA,0,0.16,0.16,0,0.73699875,0.469035116,0.059457383,8.985714286,5.7,7.342857143,0.685714286,8.1,22.05714286,248.0571429,89.8,1007.871429,6.242857143,6.314285714,6.514285714,6.857142857,7.4,9.257142857,0,2.157142857,0.326773038,0.326773038,0.720965407,0.998230685,0.227376408,0.083445009
08/12/2014,2014,12,125,111,296,-1.253214767,0,1.86,0.930857143,7.6,3,5.3,4.3,12.7,40.4,220.9,78.6,1020.3,3.9,4.1,4.8,5.6,6.8,8.8,0,1.9,0.257,0.257,0,4.884909896,0.827029875,0.393779021,7.085714286,5.442857143,6.257142857,5.942857143,9.585714286,31.72857143,188.0428571,86.25714286,1020.314286,5.414285714,5.6,6.1,6.585714286,7.357142857,8.971428571,0,1.342857143,0.233065178,0.233065178,0.027869228,2.210955491,0.722883161,0.178258296
15/12/2014,2014,12,76,42,115,-1.253214767,0,1.86,1.794857143,7.9,4.5,6.2,3.4,8.5,27.7,188.6,81.5,1008.4,4.9,5,5.3,5.6,6.1,7.8,0,1.2,0.209,0.209,0,6.110209792,0.763271325,0.492538193,7.057142857,3.928571429,5.471428571,10.55714286,13.8,39.88571429,121.8285714,85.61428571,1003.828571,4.5,4.614285714,5,5.428571429,6.228571429,8.214285714,0,0.357142857,0.151846038,0.151846038,0,8.10793814,1.363829432,0.653555098
22/12/2014,2014,12,75,60,108,-1.253214767,0,1.86,1.478,10.6,10.6,10.6,39.1,11,26.2,19.7,99.9,1005.8,9.9,9.7,9.2,8.9,8.1,8.1,9.6,0,0.147,0.147,0,31.10736948,6.242506328,2.507309264,9.185714286,8.4,8.771428571,17.05714286,12.5,33.42857143,75.72857143,93.35714286,1008.828571,7.814285714,7.728571429,7.542857143,7.5,7.285714286,7.942857143,5.128571429,0.257142857,0.156367217,0.156367217,0,16.44037951,2.828165349,1.325149872
29/12/2014,2014,12,NA,NA,NA,-1.253214767,0,1.86,-0.177428571,1.5,1.3,1.4,0,8.6,19.3,188.8,87.3,1033.8,1.8,2,2.6,3.4,5,7.8,0,1.1,0.193,0.193,0.443,3.832324063,0.262828824,0.308940603,5.071428571,4.857142857,4.985714286,5.971428571,9.314285714,27,182.3857143,86.45714286,1021.042857,4.057142857,4.385714286,5.171428571,5.042857143,6.828571429,8.214285714,0,1.485714286,0.232827017,0.232827017,0.098915981,14.71486716,1.15856603,1.186073576
05/01/2015,2015,1,NA,NA,NA,-0.292365168,0,1.79,0.393428571,9.4,9.1,9.3,7,13.6,34.4,59.6,82.7,1013.4,7.5,7.3,6.8,6.6,6.4,7.5,0,0,0.151,0.151,0,4.399892708,0.559485711,0.354686636,7.8,7.614285714,7.714285714,5.685714286,12.48571429,32.5,176.6714286,87.04285714,1018.528571,6.157142857,6.157142857,6.071428571,6.157142857,6.285714286,7.5,0,2.014285714,0.289589586,0.289589586,0.104864917,8.517915267,1.509346,0.686599254
12/01/2015,2015,1,62,38,86,-0.292365168,0,1.79,1.433714286,8.2,8.2,8.2,18.4,17.3,46.7,283,NA,995.5,5.5,5.7,6.1,6.3,6.6,7.7,0,2.8,0.388,0.388,0,20.1178649,2.736597455,1.621555194,7.914285714,7.728571429,7.828571429,11.78571429,16.85714286,44.31428571,137.2428571,84.35,1006.214286,6.314285714,6.4,6.585714286,6.742857143,6.871428571,7.614285714,0,1.557142857,0.276331684,0.276331684,0,20.34838339,3.508761943,1.640134985
19/01/2015,2015,1,41,22,56,-0.292365168,0,1.79,0.757857143,2.1,-0.8,0.6,3,8.6,23.3,82.9,92.6,1009.6,0.6,0.9,1.8,2.6,4,6.5,0,0,0.147,0.147,0,5.109694792,0.348198617,0.411896684,4.885714286,1.271428571,3.071428571,8.271428571,12.24285714,39.51428571,171.1714286,85.44285714,997.0857143,2.042857143,2.314285714,3.042857143,3.742857143,4.928571429,7.057142857,0,1.542857143,0.267991895,0.267991895,0,12.96771994,1.15876121,1.045253511
26/01/2015,2015,1,112,87,164,-0.292365168,0,1.79,0.627857143,7.4,7.3,7.4,1.5,10.3,26.5,324.5,81.4,1024.5,5.9,6,6.1,6.1,5.8,6.2,0,1.5,0.351,0.351,0,6.647462813,0.785834395,0.535840786,6.585714286,4.471428571,5.557142857,5.071428571,9.1,29.51428571,202.4857143,88.44285714,1014.857143,4.514285714,4.485714286,4.385714286,3.628571429,4.628571429,6.114285714,-0.314285714,0.8,0.255098994,0.255098994,0.049756497,6.225262337,1.245448359,0.501811428
02/02/2015,2015,2,66,45,77,-1.239659671,0,1.32,0.671714286,1,0.9,1,2.8,3.3,9.4,314.3,89.9,1006.9,2.4,2.5,2.7,3.1,4.1,6.1,0,0.8,0.269,0.269,0,3.552890417,0.258530212,0.286418251,4.957142857,4.257142857,4.585714286,8.471428571,15.08571429,39.7,302.7571429,83.37142857,1000.342857,3.271428571,3.457142857,3.914285714,4.342857143,5.057142857,6.371428571,0,2.028571429,0.400074446,0.400074446,0.00141222,6.033943051,0.74350627,0.486391093
09/02/2015,2015,2,40,28,52,-1.239659671,0,1.32,0.538571429,3.7,3.4,3.5,0,5.1,13.2,172.1,86,1034.3,5.6,5.5,5.3,0,5.2,5.9,2.9,0,0.252,0.252,1.689,1.173623958,0.158287598,0.094649375,3.242857143,3.085714286,3.171428571,1.271428571,5.8,17.35714286,367.3714286,88.2,1030.957143,3.328571429,4.071428571,4.071428571,2.728571429,4.457142857,5.814285714,0.414285714,1.8,0.397445697,0.397445697,1.021681217,2.261954464,0.30501439,0.182368813
16/02/2015,2015,2,50,34,70,-1.239659671,0,1.32,0.822285714,6.1,5.7,5.9,8.5,9.3,30.9,594.2,83.2,1014.9,4.4,4.7,5.2,5.5,5.7,6.3,0,4.7,0.89,0.89,0,3.398970938,0.990751793,0.274012341,5.328571429,5.2,5.285714286,4.157142857,8.257142857,24.95714286,366.6142857,87.77142857,1008.957143,4.4,5.314285714,5.442857143,1.585714286,5.571428571,6.171428571,0.214285714,1.585714286,0.481877902,0.481877902,1.001350898,1.542075461,0.456796336,0.124346566
23/02/2015,2015,2,48,27,81,-1.239659671,0,1.32,1.244714286,8.1,1.8,5,13.2,22.3,71.1,331.9,80.1,977.5,3.6,3.8,4.3,4.8,5.5,6.5,0,0.7,0.438,0.438,0,7.075099896,0.973864261,0.570308335,6.385714286,4.714285714,5.571428571,8.357142857,14.08571429,42.87142857,391.4285714,84.18571429,1003.9,5.357142857,5.414285714,5.528571429,3.9,5.871428571,6.471428571,0,1.771428571,0.562359166,0.562359166,0,5.109532083,1.049066699,0.411883569
02/03/2015,2015,3,NA,NA,NA,-1.638559167,1,1.45,1.112285714,2,1.8,1.9,11.9,13.9,52.3,539.7,83.6,999.6,0,2.9,3.8,4.5,5.5,6.5,0,2.7,0.705,0.705,0,5.880158542,0.517928174,0.473996062,8.25,4.033333333,6.133333333,8.6,14.83333333,45.26666667,464.2166667,82.58333333,999.8833333,4.316666667,4.916666667,5.25,4.666666667,5.783333333,6.433333333,0,1.9,0.656444482,0.656444482,0,8.429103065,1.317854974,0.679440991
09/03/2015,2015,3,48,42,74,-1.638559167,1,1.45,1.078285714,4.8,4.6,4.7,7.3,19,57.1,587.7,80.8,1008.9,6.4,6.5,6.8,6.8,6.9,6.7,0,3.3,0.933,0.933,0,8.632450104,0.591256002,0.695830762,7.942857143,5.9,6.928571429,5.285714286,17.04285714,43.15714286,526.4857143,80.61428571,1015.342857,4.657142857,6.314285714,6.142857143,6.057142857,5.885714286,6.328571429,0,2.342857143,0.804356093,0.804356093,0.181619506,8.477963245,1.912550994,0.683379121
16/03/2015,2015,3,40,35,51,-1.638559167,1,1.45,0.654571429,5.9,5.2,5.5,0,6.3,18,519.4,81.1,1021.1,5.6,5.6,5.7,0,6,6.8,0,0.4,0.564,0.564,3.646,1.872445729,0.136708586,0.150974409,4.685714286,3.128571429,3.9,2.985714286,9.271428571,27.04285714,882.0285714,76.01428571,1021.742857,1.657142857,5.942857143,6.085714286,0,6.371428571,6.842857143,0,3.928571429,1.051801281,1.051801281,1.694231341,4.922755208,0.481120891,0.396829353
23/03/2015,2015,3,37,38,45,-1.638559167,1,1.45,0.435142857,7.1,7,7,4.5,10.7,31.1,1307.2,78.5,1014,0,8.1,8.1,0,7.6,7.3,0,7.4,1.909,1.909,6.594,0.659055625,0.152605759,0.053175167,5.457142857,5.328571429,5.385714286,0.928571429,6.542857143,19.58571429,1082.871429,82.64285714,1025.3,0,8.071428571,7.828571429,0,7.071428571,6.971428571,0,4.885714286,1.349748937,1.349748937,7.444323289,0.941733631,0.118248123,0.075959014
30/03/2015,2015,3,64,46,108,-1.638559167,1,1.45,1.416285714,6.4,6.2,6.3,15,14.7,48.3,205,83.2,998.4,6.3,6.4,6.7,0,7.4,7.5,0,0,0.614,0.614,0,9.645001667,1.308177713,0.777442418,3.185714286,3.085714286,3.128571429,8.325,7.157142857,23.14285714,668.3,82.125,1005.375,2.528571429,3.571428571,3.8,0.942857143,4.114285714,4.242857143,0,2.014285714,0.9582266,0.9582266,0.660716175,6.218911383,1.526290276,0.501299541
06/04/2015,2015,4,38,34,44,-1.558647307,1,0.73,1.005571429,16.1,3.8,10,0,4.5,18.2,1693.5,79.6,1031.3,0,10.6,10.4,0,9.1,8,0,8.4,2.523,2.523,6.05,3.804287917,0.166036955,0.30668089,10.8,7.585714286,9.2,7.3,11.18571429,29.32857143,999.2142857,84.22857143,1020.514286,4.457142857,9.114285714,8.814285714,2.866666667,7.957142857,7.671428571,2.033333333,3.771428571,1.482259412,1.482259412,1.608420399,10.28271374,1.436959004,0.828842011
13/04/2015,2015,4,82,74,105,-1.558647307,1,0.73,1.150571429,12.1,1.9,7,2.5,12.8,31.7,459.4,90.3,1019.7,8.4,8.4,8.7,0,9,8.9,0,0,0.729,0.729,0,2.176914479,0.357872497,0.175514591,13.37142857,3.785714286,8.557142857,4,8.357142857,23.65714286,1620.928571,80.88333333,1019.271429,1.2,10.38571429,8.685714286,1.4,9.6,8.614285714,0,8.1,2.45144276,2.45144276,7.787725171,1.887191578,0.332346455,0.152162925
20/04/2015,2015,4,29,40,44,-1.558647307,1,0.73,0.778142857,7.1,6.8,6.9,0,5.6,16.7,2247,66.1,1027.6,0,13.4,12.5,0,10.7,9.3,0,10.7,3.027,3.027,15.021,0.784877188,0.11329936,0.063316385,10.4,6.128571429,8.271428571,0.928571429,8.3,23.41428571,1756.514286,71.44285714,1020.185714,1.442857143,11.5,9.585714286,0,9.814285714,9.014285714,0,7.985714286,2.499098431,2.499098431,6.217863091,1.428347842,0.335389136,0.11518012
27/04/2015,2015,4,46,62,70,-1.558647307,1,0.73,-1.385,5.7,2.7,4.2,0.3,2.7,9.8,NA,94.4,1010,5.9,7.1,9.5,10.1,10.8,10.4,0,6.9,2.136,2.136,1.836,0.810329479,0.139479322,0.06536784,8.5,5.9,7.2,3.283333333,5.314285714,15.58571429,1518.16,80.96666667,1014.65,2.3,4.471428571,10.98571429,3.242857143,10,8.557142857,0.857142857,8.371428571,2.7195661,2.7195661,14.30952665,0.765910819,0.173094686,0.061787696
04/05/2015,2015,5,82,84,138,-1.558664054,1,0.15,-0.721285714,8.4,8.3,8.4,1.7,9.6,27.1,1062.1,82.1,991,0,10.9,10.9,0,10.1,9.7,0,2.3,1.426,1.426,0,1.865957083,0.390248317,0.150451425,6.628571429,6.428571429,6.557142857,4.871428571,10.42857143,28.67142857,1228.557143,81.11428571,1000.4,1.383333333,9.357142857,9.442857143,2.833333333,9.528571429,9.828571429,1.133333333,4.4,1.759720708,1.759720708,0.772331637,2.374525684,0.612536366,0.191442054
11/05/2015,2015,5,125,115,201,-1.558664054,1,0.15,-0.144285714,12.5,12.4,12.4,1.5,20.4,42.1,2069.4,74.1,1002.9,0,12,11.9,0,10.8,10,0,8.8,3.315,3.315,1.815,6.341745938,0.385052655,0.511200006,8.328571429,7.742857143,8.028571429,7.357142857,11.05714286,28.44285714,1284.171429,82.27142857,1002.4,5.857142857,10.78571429,10.74285714,5.914285714,10.24285714,9.9,0,3.728571429,1.79431268,1.79431268,1.607572395,5.858583958,1.011075394,0.472257151
18/05/2015,2015,5,96,77,161,-1.558664054,1,0.15,0.172285714,7.4,7.3,7.4,13.3,17.2,42.5,1745.1,83.4,999.7,0,10.6,10.9,0,11,10.6,0,5.4,2.187,2.187,0,2.838919792,1.158593426,0.228872219,8.4,8.242857143,8.328571429,4.757142857,12.64285714,31.6,1545.657143,78.97142857,1012.057143,3.314285714,11.58571429,11.6,1.6,11.12857143,10.38571429,1.171428571,5.271428571,2.163907094,2.163907094,1.508538794,2.553400967,0.451546173,0.205859402
25/05/2015,2015,5,78,77,106,-1.558664054,1,0.15,0.453142857,8.2,8.2,8.2,1.5,8,23.8,1348.3,87.7,1020.1,13.4,13.1,12.7,0,11.7,10.8,8.6,1.9,1.448,1.448,1.261,1.620597396,0.27159437,0.130675434,8.714285714,8.614285714,8.642857143,3.442857143,9.285714286,23.52857143,1288.942857,86.12857143,1018.685714,7.142857143,11.94285714,11.77142857,3.414285714,11.14285714,10.6,1.228571429,2.742857143,1.648671386,1.648671386,0.652591894,2.298765357,0.447753089,0.185335771
01/06/2015,2015,6,114,91,184,-1.483005503,0,-0.07,0.515142857,7.6,7.4,7.5,15.8,16.8,46.1,990.1,83.1,992.5,9.7,9.7,10.4,10.7,11.2,11.2,NA,3.5,1.818,1.818,0,18.28396604,3.74779654,1.473742946,8.085714286,7.9,8,7.4,12.01428571,32.75714286,1563.028571,80.5,1008.528571,7.957142857,11.77142857,11.94285714,4.828571429,11.72857143,11.08571429,0,4.657142857,2.109649036,2.109649036,0.677550498,4.649035015,1.178953758,0.374767506
